filename,title,date,url,digest
2003-09-25-e5ead,TAKING OBLIGATIONS SERIOUSLY,2003-09-25,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3669/TAKING-OBLIGATIONS-SERIOUSLY.aspx,e5eadfe51091799a649c7573d1e8e6b6f8277ad0
2011-03-30-cf3bc,"Remarks at Kangaroo Bus Lines Morning Tea, Morayfield",2011-03-30,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7957/Remarks-at-Kangaroo-Bus-Lines-Morning-Tea-Morayfield.aspx,cf3bc851aded85f58a9f457b41093397c520fe14
2011-08-19-6d6f2,"Address to Workers at Seeley International, Adelaide",2011-08-19,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8261/Address-to-Workers-at-Seeley-International-Adelaide.aspx,6d6f2813687383f8633c16859c118efee245b57a
2009-01-25-c6b8f,THE CALLING OF POLITICS,2009-01-25,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7040/THE-CALLING-OF-POLITICS.aspx,c6b8fd92fae440f48a939bc05b571462fe366ec6
2012-06-04-dc183,"Remarks at Her Majesty the Queen's Diamond Jubilee Beacon Lighting Ceremony, Parliament House, Canberra",2012-06-04,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8742/Remarks-at-Her-Majesty-the-Queens-Diamond-Jubilee-Beacon-Lighting-Ceremony-Parliament-House-Canberra.aspx,dc183a2a2ee39c8f74be66be985dcf5a537e5ef4
2003-10-10-f1cc5,NEW MEDICAL INDEMNITY ARRANGEMENTS,2003-10-10,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3552/NEW-MEDICAL-INDEMNITY-ARRANGEMENTS.aspx,f1cc555d9ac26bda7b632759eef5e4bd85b59bcc
2005-05-28-c6dec,THE VOCATION OF MEDICINE,2005-05-28,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3596/THE-VOCATION-OF-MEDICINE.aspx,c6dec82177247e58f048fd9e272922a4777f1dcc
2011-11-07-b4408,"Address to the Menzies Research Centre Manufacturing Industry Roundtable, Melbourne",2011-11-07,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8442/Address-to-the-Menzies-Research-Centre-Manufacturing-Industry-Roundtable-Melbourne.aspx,b4408a20704cfae4de89a8d3beccb0d26ea6d866
2011-09-12-47590,"First Reading Speech, Wild Rivers (Environmental Management) Bill 2011, Parliament House, Canberra",2011-09-12,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8309/First-Reading-Speech-Wild-Rivers-Environmental-Management-Bill-2011-Parliament-House-Canberra.aspx,47590cec45e8135115a609cfd3af4d131a235ff6
2005-12-15-e2870,AGAINST GREED,2005-12-15,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3589/AGAINST-GREED.aspx,e2870686305c47c93602aedf14cdf07fc5aff090
2011-11-11-e7854,"Remarks at the International Democrat Union Leaders Meeting, London",2011-11-11,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8447/Remarks-at-the-International-Democrat-Union-Leaders-Meeting-London.aspx,e7854bb144ed3762d1fad2200295d9077f0a5622
2012-08-25-c36f0,Address to Australian Liberal Party Tasmanian Division State Council,2012-08-25,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8865/Address-to-Australian-Liberal-Party-Tasmanian-Division-State-Council.aspx,c36f076b27143afdbb23cbb4814872498bd101c6
2011-09-23-312b2,"Address to the Australia Israel Chamber of Commerce Lunch, Melbourne",2011-09-23,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8345/Address-to-the-Australia-Israel-Chamber-of-Commerce-Lunch-Melbourne.aspx,312b2bfd7555ff590b553b53101473c191050fcc
2011-11-21-6feea,"Parliamentary Statement on Afghanistan, House of Representatives, Parliament House",2011-11-21,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8473/Parliamentary-Statement-on-Afghanistan-House-of-Representatives-Parliament-House.aspx,6feea1cff15be65b82ef8c35ca64fa1fff9dbbb3
2011-09-12-5c19e,"Address to the Australian Steel Convention 2011, Canberra",2011-09-12,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8310/Address-to-the-Australian-Steel-Convention-2011-Canberra.aspx,5c19e10eb4f969b054b490c72936b1350327664d
2010-09-18-4f0ef,"Address to Liberal Party NSW Division State Council Meeting, Sydney",2010-09-18,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7683/Address-to-Liberal-Party-NSW-Division-State-Council-Meeting-Sydney.aspx,4f0ef41c1f53d9d0ed14bba027206dbd523ca08a
2010-12-16-e7d32,"Address to the Japan Institute of International Affairs, Tokyo, Japan",2010-12-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7747/Address-to-the-Japan-Institute-of-International-Affairs-Tokyo-Japan.aspx,e7d32cc5630a43ce8784872d836672cfe72ccdeb
2008-05-01-6f102,WELFARE REFORM: A CONSERVATIVE APPROACH TO UNFINISHED BUSINESS,2008-05-01,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/6914/WELFARE-REFORM-A-CONSERVATIVE-APPROACH-TO-UNFINISHED-BUSINESS.aspx,6f10260054f97708b00bcad7bd1f387b1c5b1642
2011-05-04-794c0,"Address to the Victorian Employers' Chamber of Commerce and Industry, Industry House, Melbourne",2011-05-04,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8046/Address-to-the-Victorian-Employers-Chamber-of-Commerce-and-Industry-Industry-House-Melbourne.aspx,794c00e09d5b00362e55cb2bfc81a65e3ad91010
2008-10-30-3ed73,AUSTRALIAN FEDERALISM: RESCUE & REFORM CONFERENCE,2008-10-30,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7004/AUSTRALIAN-FEDERALISM-RESCUE-REFORM-CONFERENCE.aspx,3ed7388e58b75e3c889fbf65a84c796f72aa1ee5
2010-04-23-fd19c,Address to the Lowy Institute - National Security Fundamentals,2010-04-23,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7347/Address-to-the-Lowy-Institute--National-Security-Fundamentals.aspx,fd19c250107f5ca0b759c2e415db1a0019b3dbbb
2012-04-23-cb2c1,"Remarks at the launch of 'Roddy's Folly', Sydney University Law School",2012-04-23,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8690/Remarks-at-the-launch-of-Roddys-Folly-Sydney-University-Law-School.aspx,cb2c1ad5eeedcd1aa8cd63bbe8c6080094315a18
2010-05-27-5dd9c,"Paid Parental Leave Bill 2010, House of Representatives",2010-05-27,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7408/Paid-Parental-Leave-Bill-2010-House-of-Representatives.aspx,5dd9c672d5c36dac0bb1547a1a38fff806fef35d
2009-11-16-dd478,FORGOTTEN AUSTRALIANS SPEECH,2009-11-16,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7151/FORGOTTEN-AUSTRALIANS-SPEECH.aspx,dd478be9d3549fb773a7b31cc8cac1690a7029aa
2003-06-20-75720,SIR NORMAN COWPER LECTURE - RESPONSIBLE FEDERALISM,2003-06-20,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3561/SIR-NORMAN-COWPER-LECTURE--RESPONSIBLE-FEDERALISM.aspx,757204fb3ae5a13184dfe3d4996c0fb97f42363b
2009-08-14-1c7bd,WHAT'S RIGHT?,2009-08-14,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7096/WHATS-RIGHT.aspx,1c7bd1fba205e5074591fcfc55aa8881e4bb0daf
2012-07-18-2cc7c,"Address to the Heritage Foundation, Washington D.C.",2012-07-18,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8816/Address-to-the-Heritage-Foundation-Washington-DC.aspx,2cc7c630f158eecf2fae35d21f8f38663c5c6164
2010-09-29-905b9,Address to Parliament - Election of Speaker,2010-09-29,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7691/Address-to-Parliament--Election-of-Speaker.aspx,905b9fc20eae32e27212559a060d648bca6ab356
2011-02-07-32459,"Remarks to Shadow Ministry Meeting, Parliament House, Canberra",2011-02-07,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7832/Remarks-to-Shadow-Ministry-Meeting-Parliament-House-Canberra.aspx,32459219cf2894dbdaa879bfdd469de19227e14e
2010-11-22-7ae4a,Remarks to the Murray River Group of Councils and Greater Shepparton City Council Meeting,2010-11-22,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7721/Remarks-to-the-Murray-River-Group-of-Councils-and-Greater-Shepparton-City-Council-Meeting.aspx,7ae4a0f2bf25ff84321f587b4446db3d021e9abe
2011-01-29-247e8,"Address to the 2011 Federal Young Liberal Convention, Gold Coast",2011-01-29,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7803/Address-to-the-2011-Federal-Young-Liberal-Convention-Gold-Coast.aspx,247e8b69fe70678a6c4d3bee027c00a22f6d313a
2011-08-20-b9968,"Address to the South Australian Liberal Party State Council, Adelaide",2011-08-20,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8264/Address-to-the-South-Australian-Liberal-Party-State-Council-Adelaide.aspx,b99685d5804d5be4809755412f8951610a789885
2012-07-01-8637e,"Address to the 56th Federal Council of the Liberal Party of Australia, Melbourne",2012-07-01,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8792/Address-to-the-56th-Federal-Council-of-the-Liberal-Party-of-Australia-Melbourne.aspx,8637ede5dd4c7408807a35ef34fc27aabf0c9136
1999-12-17-57753,ENGINEERING THE END OF UNEMPLOYMENT,1999-12-17,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3689/ENGINEERING-THE-END-OF-UNEMPLOYMENT.aspx,57753b1da9dc9390235139abc6e576b2dca63e5d
2000-08-03-0f53a,MUTUAL OBLIGATION AND THE SOCIAL FABRIC,2000-08-03,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/3673/MUTUAL-OBLIGATION-AND-THE-SOCIAL-FABRIC.aspx,0f53a53a52673d9937d5ba6483f693b95542a343
2011-10-10-55d85,"Remarks to Shadow Cabinet Meeting, Canberra",2011-10-10,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8378/Remarks-to-Shadow-Cabinet-Meeting-Canberra.aspx,55d85d8c26e95f9880786706862c72f93f48dcdf
2009-07-27-89848,A REALIST'S APPROACH TO CLIMATE CHANGE,2009-07-27,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/7087/A-REALISTS-APPROACH-TO-CLIMATE-CHANGE.aspx,89848415bce7647dff8583b9924bc1b6aad0e72c
2011-05-28-adfb3,"Address to the Liberal Party, Victorian Division State Council, Melbourne 28-05",2011-05-28,http://www.tonyabbott.com.au/LatestNews/Speeches/tabid/88/articleType/ArticleView/articleId/8099/Address-to-the-Liberal-Party-Victorian-Division-State-Council-Melbourne-28-05.aspx,adfb316782b54aed57bc773f2a1ed0f1749f3069
