Month,China,World
1988/01/01,103,3420
1988/02/01,129,3602
1988/03/01,65,3902
1988/04/01,76,3262
1988/05/01,65,3612
1988/06/01,87,3165
1988/07/01,103,3435
1988/08/01,77,3421
1988/09/01,80,3438
1988/10/01,88,3643
1988/11/01,95,3641
1988/12/01,110,3829
1989/01/01,92,3253
1989/02/01,82,3253
1989/03/01,68,4053
1989/04/01,119,3777
1989/05/01,196,4188
1989/06/01,147,4078
1989/07/01,87,3885
1989/08/01,101,4099
1989/09/01,99,4011
1989/10/01,70,4153
1989/11/01,64,4304
1989/12/01,69,3953
1990/01/01,69,3684
1990/02/01,97,3944
1990/03/01,165,4539
1990/04/01,107,4047
1990/05/01,112,4313
1990/06/01,132,4147
1990/07/01,125,4270
1990/08/01,111,4239
1990/09/01,88,4133
1990/10/01,107,4581
1990/11/01,87,4390
1990/12/01,93,4604
1991/01/01,78,3997
1991/02/01,92,3969
1991/03/01,128,4719
1991/04/01,124,4321
1991/05/01,179,4697
1991/06/01,135,4478
1991/07/01,153,4492
1991/08/01,98,4633
1991/09/01,128,4365
1991/10/01,112,4654
1991/11/01,149,4643
1991/12/01,146,4753
1992/01/01,80,4160
1992/02/01,109,4258
1992/03/01,137,4797
1992/04/01,103,4604
1992/05/01,132,4923
1992/06/01,109,4745
1992/07/01,191,4875
1992/08/01,132,4728
1992/09/01,186,5238
1992/10/01,208,5268
1992/11/01,249,5299
1992/12/01,238,5482
1993/01/01,140,4714
1993/02/01,159,4713
1993/03/01,216,5072
1993/04/01,193,4812
1993/05/01,190,5386
1993/06/01,165,5115
1993/07/01,189,5425
1993/08/01,196,5238
1993/09/01,194,5454
1993/10/01,212,5799
1993/11/01,217,5491
1993/12/01,225,5520
1994/01/01,169,4730
1994/02/01,236,4838
1994/03/01,217,5673
1994/04/01,221,5223
1994/05/01,273,5880
1994/06/01,242,5278
1994/07/01,258,5424
1994/08/01,190,5324
1994/09/01,262,5324
1994/10/01,204,5774
1994/11/01,304,5764
1994/12/01,240,5543
1995/01/01,171,4941
1995/02/01,259,5155
1995/03/01,328,6197
1995/04/01,256,5652
1995/05/01,248,6193
1995/06/01,244,5760
1995/07/01,234,6287
1995/08/01,239,6126
1995/09/01,170,6264
1995/10/01,324,6259
1995/11/01,319,6009
1995/12/01,339,6827
1996/01/01,293,5969
1996/02/01,356,6045
1996/03/01,422,6925
1996/04/01,412,6254
1996/05/01,379,6757
1996/06/01,293,6282
1996/07/01,280,6338
1996/08/01,291,6400
1996/09/01,245,6245
1996/10/01,303,6656
1996/11/01,279,6374
1996/12/01,324,6737
1997/01/01,239,6019
1997/02/01,292,6425
1997/03/01,332,6633
1997/04/01,344,6638
1997/05/01,346,7629
