Date,NSW,VIC,SA,WA,ACT,TAS,QLD,NT
1985/09/01,43364,31277,9957,12042,3454,3259,20450,1628
1985/12/01,43583,31399,9958,12024,3459,3246,20408,1665
1986/03/01,42577,31217,9953,12040,3509,3221,20332,1694
1986/06/01,43518,31735,9972,12081,3612,3202,20272,1682
1986/09/01,43993,31654,9973,12156,3697,3179,20278,1618
1986/12/01,44253,31864,9941,12212,3688,3159,20360,1547
1987/03/01,43544,31618,9930,12234,3642,3138,20487,1517
1987/06/01,44133,32586,10027,12332,3672,3140,20716,1502
1987/09/01,44610,32499,10196,12581,3794,3171,21143,1509
1987/12/01,45928,33043,10286,12889,3873,3199,21597,1523
1988/03/01,46364,33076,10283,13095,3847,3212,21921,1529
1988/06/01,46038,33284,10297,13182,3724,3224,22092,1528
1988/09/01,46505,33779,10410,13280,3658,3250,22333,1545
1988/12/01,46783,34521,10610,13657,3729,3315,22767,1586
1989/03/01,47859,35784,10750,14344,3874,3374,23290,1602
1989/06/01,49308,35976,10734,14978,3962,3382,23640,1581
1989/09/01,49435,35962,10672,15206,3974,3362,23822,1588
1989/12/01,49411,36120,10688,14997,3922,3375,23813,1615
1990/03/01,50049,35955,10843,14654,3936,3429,23775,1643
1990/06/01,50629,35577,10986,14452,3990,3446,23678,1641
1990/09/01,49890,35203,11004,14275,4050,3406,23565,1621
1990/12/01,50199,33832,10958,14057,4079,3343,23474,1639
1991/03/01,49771,33443,10936,13946,4084,3314,23450,1661
1991/06/01,49558,33258,10937,13965,4124,3312,23561,1663
1991/09/01,49957,33665,10878,14046,4216,3318,23795,1655
1991/12/01,49612,33700,10791,14059,4289,3332,23976,1630
1992/03/01,49691,33609,10742,14092,4333,3341,24123,1615
1992/06/01,49524,34184,10765,14308,4358,3363,24375,1625
1992/09/01,49889,33923,10812,14736,4379,3390,24724,1642
1992/12/01,50904,34837,10812,15172,4398,3382,25087,1678
1993/03/01,50026,34106,10787,15363,4418,3377,25266,1719
1993/06/01,50246,34975,10769,15414,4485,3390,25372,1748
1993/09/01,49614,34888,10757,15491,4591,3418,25674,1781
1993/12/01,50556,35441,10747,15724,4693,3446,26149,1814
1994/03/01,51347,35504,10780,15997,4767,3449,26681,1846
1994/06/01,53113,35631,10942,16280,4810,3463,27136,1879
1994/09/01,54226,36973,11210,16521,4814,3497,27406,1904
1994/12/01,55177,36937,11486,16675,4799,3545,27732,1926
1995/03/01,54823,37565,11630,16741,4757,3599,28146,1965
1995/06/01,56110,37457,11626,16901,4731,3622,28425,2020
1995/09/01,55456,37977,11598,17227,4778,3616,28668,2088
1995/12/01,56278,38110,11612,17724,4839,3610,28883,2160
1996/03/01,56838,39070,11710,18012,4903,3633,29193,2203
1996/06/01,57249,39303,11827,18050,4948,3681,29550,2202
1996/09/01,57537,38658,11870,17956,4984,3719,29756,2167
1996/12/01,57307,39940,11928,17959,5061,3739,30039,2116
1997/03/01,57703,41011,12092,18275,5144,3752,30546,2093
1997/06/01,58543,42284,12387,18848,5206,3769,31116,2117
1997/09/01,59612,41827,12698,19583,5237,3795,31452,2194
