date,XMM,ASX300
2005/01/04,2037.36,4063.8
2005/01/05,2015.05,4044.85
2005/01/06,2015.35,4035.78
2005/01/07,2036.85,4068.89
2005/01/10,2045.86,4080.64
2005/01/11,2052.91,4078.62
2005/01/12,2065.52,4076.56
2005/01/13,2063.08,4075.89
2005/01/14,2066.74,4068.19
2005/01/17,2103.46,4083.64
2005/01/18,2099.23,4069.15
2005/01/19,2117.08,4059.79
2005/01/20,2096.31,4043.22
2005/01/21,2090.24,4050.91
2005/01/24,2122.97,4051.86
2005/01/25,2129.64,4062.98
2005/01/27,2159.53,4112.31
2005/01/28,2152.03,4105.72
2005/01/31,2154.78,4114.12
2005/02/01,2184.24,4134.14
2005/02/02,2214.78,4151.74
2005/02/03,2232.41,4158.09
2005/02/04,2216.11,4168.91
2005/02/07,2221.85,4196.41
2005/02/08,2210.1,4185.81
2005/02/09,2178.91,4178.41
2005/02/10,2168.7,4180.9
2005/02/11,2188.03,4180.48
2005/02/14,2213.03,4156.86
2005/02/15,2229.97,4151.43
2005/02/16,2255.63,4157.81
2005/02/17,2295.53,4172.69
2005/02/18,2301.9,4169.39
2005/02/21,2308.79,4174.14
2005/02/22,2292.44,4158.86
2005/02/23,2328.39,4124.75
2005/02/24,2315.94,4102.63
2005/02/25,2345.92,4135.79
2005/02/28,2402.84,4177.63
2005/03/01,2414.58,4189.4
2005/03/02,2384.24,4195.8
2005/03/03,2388.03,4209.14
2005/03/04,2376.47,4224.25
2005/03/07,2411.69,4242.21
2005/03/08,2389,4247.23
2005/03/09,2434.7,4246.43
2005/03/10,2430.51,4220.46
2005/03/11,2396.49,4208.63
2005/03/14,2435.79,4238.25
2005/03/15,2406.15,4230.4
2005/03/16,2392.4,4249.26
2005/03/17,2392.28,4237
2005/03/18,2412,4253.26
2005/03/21,2426.7,4270.32
2005/03/22,2398.93,4237.81
2005/03/23,2366.99,4174.81
2005/03/24,2329.09,4139.55
2005/03/29,2290.75,4098.16
2005/03/30,2253.92,4095.55
2005/03/31,2288.02,4110.89
2005/04/01,2326.41,4139.49
2005/04/04,2319.71,4121.72
2005/04/05,2309.66,4132.88
2005/04/06,2278.58,4119.91
2005/04/07,2289.32,4128.14
2005/04/08,2339.3,4165.3
2005/04/11,2300.86,4132.55
2005/04/12,2315.08,4141.03
2005/04/13,2309.53,4133.42
2005/04/14,2234.57,4080.63
2005/04/15,2158.61,4011.86
2005/04/18,2122.23,3955.18
2005/04/19,2165.2,4017.14
2005/04/20,2185.59,4020.58
2005/04/21,2176.9,4011.56
2005/04/22,2192.43,4031.7
2005/04/26,2179.16,4024.94
2005/04/27,2149.32,4015.63
2005/04/28,2098.43,4007.8
2005/04/29,2085.6,3979.38
2005/05/02,2124.29,4006.28
2005/05/03,2096.4,3980.65
2005/05/04,2098.51,3940.88
2005/05/05,2132.2,3949.86
2005/05/06,2135.96,3976.84
2005/05/09,2172.11,3992.26
2005/05/10,2158.29,3985.29
2005/05/11,2131.08,3998.56
2005/05/12,2117.71,4021.77
2005/05/13,2078.55,4005
2005/05/16,2033.57,3958.62
2005/05/17,2044.92,3947.35
2005/05/18,2067.62,3979.62
2005/05/19,2104.48,4036.05
2005/05/20,2068.57,4032.92
2005/05/23,2079.52,4068.71
2005/05/24,2114.35,4093.6
2005/05/25,2109.26,4083.24
2005/05/26,2091.88,4085.19
2005/05/27,2126.66,4108.13
2005/05/30,2148.71,4124.34
2005/05/31,2129.99,4098.77
2005/06/01,2153.14,4139.08
2005/06/02,2187.48,4171.75
2005/06/03,2214.96,4185.65
2005/06/06,2226.49,4190.33
2005/06/07,2217.79,4198.02
2005/06/08,2194.27,4212.18
2005/06/09,2186.64,4205.9
2005/06/10,2189.4,4213.66
2005/06/14,2208.38,4221.05
2005/06/15,2220.09,4238.66
2005/06/16,2251.58,4255.01
2005/06/17,2312.88,4304.52
2005/06/20,2315.31,4297.75
2005/06/21,2312.62,4291.89
2005/06/22,2296.48,4269.71
2005/06/23,2269.31,4261.58
2005/06/24,2263.14,4237.2
2005/06/27,2247.61,4222.85
2005/06/28,2290.25,4261.95
2005/06/29,2290.64,4254.14
2005/06/30,2295.95,4269.05
2005/07/01,2292.26,4264.57
2005/07/04,2299.03,4273.77
2005/07/05,2320.82,4293.34
2005/07/06,2316.84,4267.12
2005/07/07,2330.1,4226.8
2005/07/08,2305.98,4221.84
2005/07/11,2347.93,4256.36
2005/07/12,2335.14,4254.61
2005/07/13,2344.97,4272.16
2005/07/14,2345.16,4287.04
2005/07/15,2335.87,4284.52
2005/07/18,2329.59,4290.47
2005/07/19,2294.34,4268.56
2005/07/20,2339.26,4293.19
2005/07/21,2380.31,4334.65
2005/07/22,2398.71,4362.43
2005/07/25,2413.48,4370.68
2005/07/26,2412.58,4372.66
2005/07/27,2412.52,4379.26
2005/07/28,2411.24,4360.77
2005/07/29,2444.05,4382
2005/08/01,2450.03,4371.6
